Name,lat,lon
Chin's Place,41.09189162517618,-81.53270030526346
Jade Dragon,41.07184068569821,-81.49300928372007
China Garden,41.091981,-81.533612
Panda Chinese Fast,41.072815397090736,-81.51330698261398
Platinum Dragon,41.09655769446503,-81.543601995508
Great Garden,41.1021942788745,-81.4765653519787
Royal Buffet & Grill,41.115578,-81.473175
New Ming,41.065762639045715,-81.57009601593018
China Star,41.078861696207284,-81.57402482151012
House of Hunan,41.02791148621577,-81.51292358512455
Gourmet Kitchen,41.04288506534063,-81.55982851982117
Great Wall Buffet,41.02907,-81.48848609
China King Buffet,41.11767938879731,-81.4753910831683
